Rank 2018,Company,Revenue,PAT,MCAP
1,Indian Oil Corporation Ltd.,424321.37,22189.45,130903.64
2,Reliance Industries Ltd.,410295.00,36075.00,697852.58
3,Oil And Natural Gas Corporation Ltd.,333143.09,22105.93,203147.13
4,State Bank of India,306527.52,-4556.29,235872.93
5,Tata Motors Ltd.,301174.85,8988.91,54304.18
6,Bharat Petroleum Corporation Ltd.,238638.07,9008.63,62627.80
7,Hindustan Petroleum Corporation Ltd.,221693.11,7218.28,32416.01
8,Rajesh Exports Ltd.,187748.10,1265.79,17889.56
9,Tata Steel Ltd.,147192.09,13434.33,67922.80
10,Coal India Ltd.,132897.34,7020.34,170587.02
11,Tata Consultancy Services Ltd.,126745.00,25826.00,741465.69
12,Larsen & Toubro Ltd.,122743.13,7369.86,172571.02
13,Hindalco Industries Ltd.,120428.30,6082.92,51407.54
14,ICICI Bank Ltd.,118969.10,7712.19,206170.67
15,Vedanta Ltd.,102192.00,10342.00,80083.53
16,HDFC Bank Ltd.,101344.44,18510.02,535071.99
17,Mahindra & Mahindra Ltd.,96377.03,7510.39,94409.50
18,NTPC Ltd.,90144.36,10543.95,134681.74
19,Bharti Airtel Ltd.,86704.30,1099.00,118558.13
20,Maruti Suzuki India Ltd.,81977.70,7880.00,209188.24
21,Infosys Ltd.,73762.00,16029.00,300131.90
22,Housing Development Finance Corporation Ltd.,72596.00,16254.96,294154.67
23,JSW Steel Ltd.,70148.00,6214.00,87475.01
24,Axis Bank Ltd.,58476.68,455.82,146568.87
25,Steel Authority of India (SAIL) Ltd.,57626.47,-281.40,27114.96
